Plot Name,Locality (see Fig. 1),UTM x,UTMy,Size 0,No of Stems,No of Species,Fisher's a,Sanco (H),Topography,Age,Geology,Ppe (mm) dry scason,Ppt (mm) annual
BI,BCI,626200,1011800,10,400,84,31.41,3.13,2,3,Tb,697,2589
B2,BCI,626200,1011900,1,409,90,35.67,3.9,2,3,Tb,696,2586
B3,BCI,626200,1012000,1,365,98,40.91,3.82,2,3,Tb,695,2579
B4,BCI,626200,1012100,1,450,87,33.92,4.06,2,3,Tb,693,2572
B5,BCI,626200,1012200,1,364,93,32.8,3.43,2,3,Tb,697,2594
B5,BCI,626200,1012300,1,480,75,22.67,3.62,2,3,Tb,697,2589
CI,Coccoli,651917,993636,1,380,50,17.48,3.95,3,1,pT,524,1888
C2,Coccoli,651927,993636,1,560,49,17.96,3.54,3,1,PT,525,1890
C3,Coccoli,651937,993636,1,503,57,23.57,3.91,3,1,pT,525,1892
C4,Coccoli,651947,993636,1,403,58,21.49,3.65,3,1,Tb,524,1887
P01,Ft. Sherman,614857,1031786,1,449,63,21.02,3.43,I,2,Tet,720,2993
P02,Ft. Sherman,628587,1014891,1,520,84,32.03,3.33,3,3,Te,780,3072
P03,FL Sherman,629529,1015836,1,647,74,28.02,2.44,3,1,Tc,811,3007
P04,FL Sherman,625125,1012545,1,381,94,54.76,3.93,3,1,Tc,810,3000
P05,Pipeline,637158,1012428,1,531,71,26.33,3.75,2,2,Tgo,621,2414
P06,Pipeline,637984,1012395,1,484,78,26.41,3.55,3,2,Teo,612,2394
P07,Pipeline,638144,1012886,1,526,93,39.27,3.81,3,1,Tgo,638,2438
P08,Pipeline,637732,1013699,1,954,94,32.32,3.06,3,3,pT,635,2456
P09,Pipeline,638365,1013754,1,424,107,41.6,3.53,3,3,pT,924,2889
P10,BCI,637861,1012976,1,457,78,28.81,3.89,I,2,Tem,667,2529
P11,BCI,641464,1011328,1,467,75,25.73,3.7,3,3,Tcm,647,2516
P12,BCI,641108,1011888,1,461,74,23.59,3.02,3,2,Tbo,618,2497
P13,BCI,622785,1010903,1,429,60,16.15,3.89,3,2,Tem,659,2576
P14,BCI,625209,1012640,1,519,92,38.53,3.66,1,3,Tem,652,2535
P15,Pipeline,637878,1012775,1,534,91,34.13,3.7,I,3,Tgo,646,2455
P16,Pipeline,643560,1010755,1,405,90,33.17,3.76,3,3,pT,707,2502
P17,Pipeline,643599,1011461,1,508,63,19.73,3.37,3,3,pT,679,2471
P18,Pipeline,645805,1008575,1,579,86,32.37,2.7,I,2,Tem,645,2511
P19,Pipeline,645416,1008797,1,557,89,30.92,2.95,3,1,pT,743,2688
P20,Pipeline,632003,1003751,1,593,90,31.01,3.8,3,1,pT,737,2658
P21,Gamboa,633322,1003529,1,485,78,28.73,3.41,3,1,Tgo,662,2411
P22,Gamboa,648907,1004027,1,393,75,24.3,3.45,3,1,Tb,722,2514
P23,Gamboa,649196,1004697,1,408,60,16.82,3.33,3,2,Tk,585,2248
P24,Gamboa,649678,993573,1,355,60,17.07,3.33,3,2,Tic,602,2280
P25,Gamboa,632900,1003600,1,302,84,26.26,3.16,3,2,pT,641,2334
P26,Gamboa,637474,1034700,0.25,466,76,25.3,4.55,3,2,pT,591,2252
P27,Gamboa,649003,1003838,0.25,148,61,20.21,4.4,3,1,TI,681,2305
P28,Gamboa,649245,1004503,0.25,191,62,20.35,4.11,3,1,11,668,2294
P29,Coccoli,649717,993540,0.25,172,65,23.33,3.79,3,1,Tb,568,1969
P30,Coccoli,649221,994670,0.25,186,64,24.83,3.98,3,1,Tb,638,2096
P31,Santa Rita,637514,1034795,0.25,254,152,48.72,4.06,I,3,pT,.,*
P32,Santa Rita,639892,1034555,0.25,257,96,60.14,4.2,3,3,pT,.,-
P33,Santa Rita,647620,1038454,0.25,267,86,55.86,4.24,4,3,pT,.,-
P34,Outer watershed,660393,1041453,0.25,202,68,34.12,3.78,4,3,pT,*,-
P35,Outer watershed,656577,1045987,0.25,288,81,17.48,3.17,3,3,pT,.,*
P36,Outer watershed,661790,1039037,0.25,257,89,17.96,2.96,3,3,pT,.,-
P37,Outer watershed,688165,1030609,0.25,241,100,23.57,3.29,3,3,pT,*,*
P38,Outer watershed,600714,962862,0.25,298,98,21.49,3.24,4,1,pT,.,*
P39,Outer watershed,601167,966019,0.25,480,66,31.61,3.83,4,1,pT,*,.
S1,Ft. Sherman,612610,1026067,1,409,88,31.61,3.76,3,2,Tc,792,3026
S,FL Sherman,612713,1025857,1,408,81,26.63,3.97,3,2,Tc,792,3026
S2,Ft. Sherman,612713,1025957,1,407,65,20.2,3.74,3,2,Tc,792,3028
S3,FL Sherman,612713,1026057,1,526,75,23.92,3.42,3,2,Tc,793,3030
S4,FL Sherman,612713,1026157,1,597,70,17.4,2.65,3,1,Tc,793,3032